State,Number of CoCs_x,"Total Homeless, 2010","Sheltered Homeless, 2010","Unsheltered Homeless, 2010","Homeless Individuals, 2010","Sheltered Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Homeless People in Families, 2010","Sheltered Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Chronically Homeless Individuals, 2010","Sheltered Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010","Homeless Veterans, 2010","Sheltered Homeless Veterans, 2010","Unsheltered Homeless Veterans, 2010",Number of CoCs_y,"Total Homeless, 2011","Sheltered Homeless, 2011","Unsheltered Homeless, 2011","Homeless Individuals, 2011","Sheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals, 2011","Homeless People in Families, 2011","Sheltered Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Chronically Homeless, 2011","Sheltered Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Chronically Homeless Individuals, 2011","Sheltered Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Chronically Homeless People in Families, 2011","Sheltered Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Homeless Veterans, 2011","Sheltered Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011",Number of CoCs_x,"Total Homeless, 2012","Sheltered Homeless, 2012","Unsheltered Homeless, 2012","Homeless Individuals, 2012","Sheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals, 2012","Homeless People in Families, 2012","Sheltered Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Chronically Homeless, 2012","Sheltered Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Chronically Homeless Individuals, 2012","Sheltered Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Chronically Homeless People in Families, 2012","Sheltered Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Homeless Veterans, 2012","Sheltered Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012",Number of CoCs_y,"Total Homeless, 2013","Sheltered Homeless, 2013","Unsheltered Homeless, 2013","Homeless Individuals, 2013","Sheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals, 2013","Homeless People in Families, 2013","Sheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families, 2013","Chronically Homeless, 2013","Sheltered Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Chronically Homeless Individuals, 2013","Sheltered Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Chronically Homeless People in Families, 2013","Sheltered Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Homeless Veterans, 2013","Sheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans, 2013",Number of CoCs_x,"Total Homeless, 2014","Sheltered Homeless, 2014","Unsheltered Homeless, 2014","Homeless Individuals, 2014","Sheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals, 2014","Homeless People in Families, 2014","Sheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families, 2014","Chronically Homeless, 2014","Sheltered Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Chronically Homeless Individuals, 2014","Sheltered Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Chronically Homeless People in Families, 2014","Sheltered Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Homeless Veterans, 2014","Sheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans, 2014",Number of CoCs_y,"Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015",Number of CoCs_x,"Total Homeless, 2016","Sheltered Homeless, 2016","Unsheltered Homeless, 2016","Homeless Individuals, 2016","Sheltered Homeless Individuals, 2016","Unsheltered Homeless Individuals, 2016","Homeless People in Families, 2016","Sheltered Homeless People in Families, 2016","Unsheltered Homeless People in Families, 2016","Chronically Homeless, 2016","Sheltered Chronically Homeless, 2016","Unsheltered Chronically Homeless, 2016","Chronically Homeless Individuals, 2016","Sheltered Chronically Homeless Individuals, 2016","Unsheltered Chronically Homeless Individuals, 2016","Chronically Homeless People in Families, 2016","Sheltered Chronically Homeless People in Families, 2016","Unsheltered Chronically Homeless People in Families, 2016","Homeless Veterans, 2016","Sheltered Homeless Veterans, 2016","Unsheltered Homeless Veterans, 2016","Homeless Unaccompanied Youth (Under 25), 2016","Sheltered Homeless Unaccompanied Youth (Under 25), 2016","Unsheltered Homeless Unaccompanied Youth (Under 25), 2016","Homeless Unaccompanied Children (Under 18), 2016","Sheltered Homeless Unaccompanied Children (Under 18), 2016","Unsheltered Homeless Unaccompanied Children (Under 18), 2016","Homeless Unaccompanied Young Adults (Age 18-24), 2016","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2016","Parenting Youth (Under 25), 2016","Sheltered Parenting Youth (Under 25), 2016","Unsheltered Parenting Youth (Under 25), 2016","Parenting Youth Under 18, 2016","Sheltered Parenting Youth Under 18, 2016","Unsheltered Parenting Youth Under 18, 2016","Parenting Youth Age 18-24, 2016","Sheltered Parenting Youth Age 18-24, 2016","Unsheltered Parenting Youth Age 18-24, 2016","Children of Parenting Youth, 2016","Sheltered Children of Parenting Youth, 2016","Unsheltered Children of Parenting Youth, 2016",Number of CoCs_y,"Total Homeless, 2017","Sheltered Homeless, 2017","Unsheltered Homeless, 2017","Homeless Individuals, 2017","Sheltered Homeless Individuals, 2017","Unsheltered Homeless Individuals, 2017","Homeless People in Families, 2017","Sheltered Homeless People in Families, 2017","Unsheltered Homeless People in Families, 2017","Chronically Homeless, 2017","Sheltered Chronically Homeless, 2017","Unsheltered Chronically Homeless, 2017","Chronically Homeless Individuals, 2017","Sheltered Chronically Homeless Individuals, 2017","Unsheltered Chronically Homeless Individuals, 2017","Chronically Homeless People in Families, 2017","Sheltered Chronically Homeless People in Families, 2017","Unsheltered Chronically Homeless People in Families, 2017","Homeless Veterans, 2017","Sheltered Homeless Veterans, 2017","Unsheltered Homeless Veterans, 2017","Homeless Unaccompanied Youth (Under 25), 2017","Sheltered Homeless Unaccompanied Youth (Under 25), 2017","Unsheltered Homeless Unaccompanied Youth (Under 25), 2017","Homeless Unaccompanied Children (Under 18), 2017","Sheltered Homeless Unaccompanied Children (Under 18), 2017","Unsheltered Homeless Unaccompanied Children (Under 18), 2017","Homeless Unaccompanied Young Adults (Age 18-24), 2017","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2017","Parenting Youth (Under 25), 2017","Sheltered Parenting Youth (Under 25), 2017","Unsheltered Parenting Youth (Under 25), 2017","Parenting Youth Under 18, 2017","Sheltered Parenting Youth Under 18, 2017","Unsheltered Parenting Youth Under 18, 2017","Parenting Youth Age 18-24, 2017","Sheltered Parenting Youth Age 18-24, 2017","Unsheltered Parenting Youth Age 18-24, 2017","Children of Parenting Youth, 2017","Sheltered Children of Parenting Youth, 2017","Unsheltered Children of Parenting Youth, 2017"
AK,2,1863,1671,192,1118,953,165,745,718,27,164,119,45,300,270,30,2,2128,1760,368,1286,1042,244,842,718,124,253,194,59,226,169,57,27,25,2,288,236,52,2,1913,1716,197,1298,1157,141,615,559,56,279,263,16,273,257,16,6,6,0,256,227,29,2,1946,1741,205,1362,1208,154,584,533,51,184,138,46,166,124,42,18,14,4,210,188,22,2.0,1784,1639,145,1209,1109,100,575,530,45,206,137,69,182,119,63,24,18,6,178,160,18,2,1956,1639,317,1342,1084,258,614,555,59,222,81,141,182,70,112,40,11,29,180,149,31,155,123,32,24,18,6,131,105,26,18,18,0,0,0,0,18,18,0,21,21,0,2.0,1940,1498,442,1527,1089,438,413,409,4,122,94,28,112,84,28,10,10,0,168,112,56,173,137,36,19,19,0,154,118,36,9,9,0,0,0,0,9,9,0,10,10,0,2.0,1845.0,1551.0,294.0,1354.0,1060.0,294.0,491.0,491.0,0.0,257.0,158.0,99.0,216.0,117.0,99.0,41.0,41.0,0.0,124.0,95.0,29.0,162.0,142.0,20.0,15.0,15.0,0.0,147.0,127.0,20.0,22.0,22.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,39.0,39.0,0.0
AL,8,6046,3891,2155,4553,2857,1696,1493,1034,459,1043,502,541,1089,911,178,8,5558,3749,1809,4325,2782,1543,1233,967,266,1114,418,696,1046,396,650,68,22,46,659,387,272,8,5209,3664,1545,3825,2573,1252,1384,1091,293,969,353,616,910,331,579,59,22,37,526,377,149,8,4689,3246,1443,3387,2212,1175,1302,1034,268,858,295,563,768,249,519,90,46,44,511,363,148,8.0,4561,3518,1043,3115,2373,742,1446,1145,301,729,283,446,618,245,373,111,38,73,542,450,92,8,3970,2943,1027,2868,2076,792,1102,867,235,607,168,439,557,157,400,50,11,39,474,399,75,228,168,60,32,27,5,196,141,55,25,21,4,5,5,0,20,16,4,35,29,6,8.0,4111,2893,1218,3019,2017,1002,1092,876,216,420,172,248,390,163,227,30,9,21,373,321,52,254,173,81,28,28,0,226,145,81,31,25,6,5,5,0,26,20,6,45,39,6,8.0,3793.0,2656.0,1137.0,2985.0,1950.0,1035.0,808.0,706.0,102.0,363.0,171.0,192.0,344.0,152.0,192.0,19.0,19.0,0.0,269.0,202.0,67.0,294.0,182.0,112.0,36.0,34.0,2.0,258.0,148.0,110.0,29.0,26.0,3.0,6.0,6.0,0.0,23.0,20.0,3.0,39.0,35.0,4.0
AR,5,2762,1728,1034,2120,1312,808,642,416,226,395,145,250,362,247,115,7,3424,1802,1622,2505,1320,1185,919,482,437,607,328,279,500,267,233,107,61,46,411,268,143,6,4214,1602,2612,3428,1191,2237,786,411,375,437,171,266,361,142,219,76,29,47,362,205,157,6,3812,1664,2148,3174,1177,1997,638,487,151,602,171,431,565,142,423,37,29,8,462,326,136,6.0,2936,1503,1433,2303,1070,1233,633,433,200,519,85,434,516,82,434,3,3,0,361,220,141,7,2560,1678,882,1833,1089,744,727,589,138,623,319,304,524,234,290,99,85,14,456,385,71,188,95,93,0,0,0,188,95,93,22,22,0,0,0,0,22,22,0,20,20,0,7.0,2463,1616,847,1838,1140,698,625,476,149,503,226,277,417,163,254,86,63,23,222,159,63,201,117,84,49,49,0,152,68,84,13,13,0,0,0,0,13,13,0,13,13,0,6.0,2467.0,1273.0,1194.0,2068.0,937.0,1131.0,399.0,336.0,63.0,473.0,147.0,326.0,450.0,138.0,312.0,23.0,9.0,14.0,239.0,130.0,109.0,208.0,87.0,121.0,17.0,15.0,2.0,191.0,72.0,119.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,13.0,13.0,0.0
AZ,3,13711,7214,6497,9226,3366,5860,4485,3848,637,1935,544,1391,2230,1052,1178,3,10504,7302,3202,6403,3684,2719,4101,3618,483,2283,1028,1255,1939,738,1201,344,290,54,1528,1018,510,3,11302,8215,3087,6310,3786,2524,4992,4429,563,1895,615,1280,1605,389,1216,290,226,64,1478,1007,471,3,10562,7431,3131,6510,3662,2848,4052,3769,283,1188,520,668,1064,450,614,124,70,54,1222,901,321,3.0,10495,7926,2569,6194,3851,2343,4301,4075,226,959,316,643,904,303,601,55,13,42,858,635,223,3,9896,6939,2957,6548,3824,2724,3348,3115,233,1366,344,1022,1246,297,949,120,47,73,1220,672,548,621,450,171,83,79,4,538,371,167,166,156,10,6,6,0,160,150,10,194,185,9,3.0,9707,6463,3244,6659,3564,3095,3048,2899,149,1395,468,927,1327,423,904,68,45,23,1036,663,373,589,431,158,100,92,8,489,339,150,150,150,0,1,1,0,149,149,0,222,222,0,3.0,8947.0,5781.0,3166.0,6488.0,3423.0,3065.0,2459.0,2358.0,101.0,1552.0,546.0,1006.0,1463.0,492.0,971.0,89.0,54.0,35.0,970.0,641.0,329.0,578.0,345.0,233.0,55.0,45.0,10.0,523.0,300.0,223.0,81.0,81.0,0.0,0.0,0.0,0.0,81.0,81.0,0.0,112.0,112.0,0.0
CA,43,123480,50899,72581,96940,32302,64638,26540,18597,7943,31235,6964,24271,17604,6600,11004,42,125128,50691,74437,97964,29028,68936,27164,21663,5501,34589,7039,27550,30807,5826,24981,3782,1213,2569,16783,6689,10094,42,120098,45890,74208,94888,26494,68394,25210,19396,5814,33356,5458,27898,30189,4912,25277,3167,546,2621,14611,4512,10099,40,118552,45554,72998,93458,26426,67032,25094,19128,5966,33112,5251,27861,29248,4177,25071,3864,1074,2790,12895,4886,8009,40.0,113952,42515,71437,90765,24857,65908,23187,17658,5529,31078,5131,25947,28200,4417,23783,2878,714,2164,12096,4457,7639,43,115738,42039,73699,93156,24843,68313,22582,17196,5386,32227,5077,27150,29178,4169,25009,3049,908,2141,11311,4309,7002,10416,2464,7952,892,260,632,9524,2204,7320,854,770,84,11,11,0,843,759,84,1160,1039,121,43.0,118142,39752,78390,97660,23720,73940,20482,16032,4450,31548,4478,27070,29802,3910,25892,1746,568,1178,9612,4012,5600,11222,2531,8691,847,213,634,10375,2318,8057,862,751,111,10,10,0,852,741,111,1098,935,163,43.0,134278.0,42636.0,91642.0,112756.0,25022.0,87734.0,21522.0,17614.0,3908.0,37360.0,5235.0,32125.0,35798.0,4430.0,31368.0,1562.0,805.0,757.0,11472.0,3815.0,7657.0,15458.0,2709.0,12749.0,1649.0,198.0,1451.0,13809.0,2511.0,11298.0,890.0,656.0,234.0,16.0,11.0,5.0,874.0,645.0,229.0,1058.0,782.0,276.0
CO,3,15482,9031,6451,7574,4576,2998,7908,4455,3453,1432,510,922,1316,853,463,3,15116,6146,8970,4546,2651,1895,10570,3495,7075,1495,549,946,1288,376,912,207,173,34,2074,1381,693,3,16768,7260,9508,5101,2847,2254,11667,4413,7254,1943,784,1159,1612,493,1119,331,291,40,1512,800,712,3,9754,7591,2163,4664,3075,1589,5090,4516,574,1780,846,934,1354,665,689,426,181,245,685,452,233,3.0,10028,8083,1945,5573,4035,1538,4455,4048,407,1621,747,874,1335,635,700,286,112,174,753,528,225,3,9953,7134,2819,5729,3739,1990,4224,3395,829,1877,882,995,1572,754,818,305,128,177,950,644,306,566,360,206,82,74,8,484,286,198,171,146,25,1,0,1,170,146,24,226,197,29,3.0,10550,7611,2939,6450,4352,2098,4100,3259,841,1829,949,880,1642,883,759,187,66,121,1181,906,275,653,383,270,39,26,13,614,357,257,157,133,24,2,1,1,155,132,23,217,187,30,3.0,10940.0,7081.0,3859.0,7571.0,4719.0,2852.0,3369.0,2362.0,1007.0,2264.0,977.0,1287.0,2126.0,914.0,1212.0,138.0,63.0,75.0,1078.0,743.0,335.0,763.0,428.0,335.0,45.0,23.0,22.0,718.0,405.0,313.0,110.0,74.0,36.0,0.0,0.0,0.0,110.0,74.0,36.0,138.0,99.0,39.0
CT,10,4316,3817,499,2993,2511,482,1323,1306,17,777,595,182,483,423,60,7,4456,3761,695,3071,2417,654,1385,1344,41,1099,769,330,1043,713,330,56,56,0,443,396,47,7,4209,3514,695,2906,2252,654,1303,1262,41,944,614,330,924,594,330,20,20,0,332,285,47,6,4448,3529,919,3101,2275,826,1347,1254,93,1046,678,368,872,542,330,174,136,38,341,267,74,6.0,4450,3531,919,3069,2243,826,1381,1288,93,1215,847,368,1026,696,330,189,151,38,295,221,74,3,4047,3421,626,2719,2124,595,1328,1297,31,583,278,305,538,240,298,45,38,7,282,241,41,124,92,32,11,11,0,113,81,32,43,41,2,0,0,0,43,41,2,65,63,2,2.0,3902,3229,673,2570,1903,667,1332,1326,6,467,282,185,439,254,185,28,28,0,216,173,43,119,97,22,8,8,0,111,89,22,61,60,1,0,0,0,61,60,1,93,92,1,2.0,3388.0,2972.0,416.0,2208.0,1796.0,412.0,1180.0,1176.0,4.0,420.0,273.0,147.0,387.0,240.0,147.0,33.0,33.0,0.0,191.0,177.0,14.0,170.0,106.0,64.0,13.0,11.0,2.0,157.0,95.0,62.0,64.0,64.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,89.0,89.0,0.0
DC,1,6539,6109,430,4016,3586,430,2523,2523,0,2110,1723,387,579,563,16,1,6546,6241,305,3858,3553,305,2688,2688,0,2509,2234,275,2093,1818,275,416,416,0,515,490,25,1,6954,6275,679,3767,3088,679,3187,3187,0,2315,1773,542,1870,1328,542,445,445,0,531,466,65,1,6865,6353,512,3696,3184,512,3169,3169,0,2027,1566,461,1764,1303,461,263,263,0,499,435,64,1.0,7748,7352,396,3953,3557,396,3795,3795,0,2029,1694,335,1609,1274,335,420,420,0,406,375,31,1,7298,6754,544,3821,3277,544,3477,3477,0,1790,1470,320,1593,1273,320,197,197,0,408,366,42,200,183,17,7,7,0,193,176,17,366,366,0,0,0,0,366,366,0,544,544,0,1.0,8350,8032,318,3683,3365,318,4667,4667,0,1597,1357,240,1501,1261,240,96,96,0,350,322,28,211,178,33,10,10,0,201,168,33,527,527,0,0,0,0,527,527,0,688,688,0,1.0,7473.0,6576.0,897.0,3583.0,2686.0,897.0,3890.0,3890.0,0.0,1881.0,1343.0,538.0,1470.0,932.0,538.0,411.0,411.0,0.0,285.0,250.0,35.0,228.0,194.0,34.0,5.0,5.0,0.0,223.0,189.0,34.0,397.0,397.0,0.0,0.0,0.0,0.0,397.0,397.0,0.0,482.0,482.0,0.0
DE,1,982,930,52,681,629,52,301,301,0,97,71,26,74,69,5,1,1035,1013,22,663,641,22,372,372,0,70,59,11,70,59,11,0,0,0,55,53,2,1,1008,986,22,611,589,22,397,397,0,100,89,11,84,73,11,16,16,0,66,64,2,1,946,936,10,575,565,10,371,371,0,71,68,3,65,62,3,6,6,0,89,86,3,1.0,901,864,37,584,554,30,317,310,7,91,82,9,88,79,9,3,3,0,93,89,4,1,953,916,37,602,565,37,351,351,0,80,75,5,64,59,5,16,16,0,79,74,5,57,56,1,3,3,0,54,53,1,21,21,0,0,0,0,21,21,0,41,41,0,1.0,1070,1019,51,753,702,51,317,317,0,74,72,2,65,63,2,9,9,0,107,103,4,51,46,5,0,0,0,51,46,5,10,10,0,0,0,0,10,10,0,20,20,0,1.0,994.0,936.0,58.0,615.0,563.0,52.0,379.0,373.0,6.0,127.0,102.0,25.0,123.0,98.0,25.0,4.0,4.0,0.0,91.0,85.0,6.0,45.0,43.0,2.0,2.0,2.0,0.0,43.0,41.0,2.0,20.0,20.0,0.0,2.0,2.0,0.0,18.0,18.0,0.0,25.0,25.0,0.0
FL,28,57551,21817,35734,35738,13231,22507,21813,8586,13227,9232,3700,5532,7794,2818,4976,28,56687,20824,35863,37584,13934,23650,19103,6890,12213,11638,3577,8061,10263,3195,7068,1375,382,993,5644,2276,3368,28,55170,19832,35338,36771,12801,23970,18399,7031,11368,10054,2406,7648,8682,2132,6550,1372,274,1098,5331,2201,3130,28,47862,19670,28192,31359,12330,19029,16503,7340,9163,9647,1873,7774,7778,1608,6170,1869,265,1604,5505,2328,3177,28.0,41542,19851,21691,28730,12886,15844,12812,6965,5847,7989,1903,6086,6843,1717,5126,1146,186,960,4552,2424,2128,27,35900,18883,17017,26325,12033,14292,9575,6850,2725,6540,1383,5157,6021,1210,4811,519,173,346,3926,2372,1554,2371,1207,1164,593,321,272,1778,886,892,315,278,37,10,10,0,305,268,37,449,397,52,27.0,33559,18198,15361,24201,11641,12560,9358,6557,2801,5895,1402,4493,5415,1219,4196,480,183,297,2902,1825,1077,2094,1106,988,514,279,235,1580,827,753,320,237,83,5,5,0,315,232,83,485,383,102,27.0,32190.0,17111.0,15079.0,22768.0,10931.0,11837.0,9422.0,6180.0,3242.0,5615.0,1241.0,4374.0,4951.0,1127.0,3824.0,664.0,114.0,550.0,2817.0,1821.0,996.0,2019.0,1075.0,944.0,421.0,282.0,139.0,1598.0,793.0,805.0,328.0,275.0,53.0,16.0,13.0,3.0,312.0,262.0,50.0,483.0,410.0,73.0
