,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,
Component/Office,Request Number,Is This A Consultation? (Y/N),Days Allowed,Statute Citation(s),Type(s) of Information Withheld,Case Citation(s),Initially Received,Perfected,Completed,Days Tolled,Track,Reason,"Disposition ""Other"" Reason",Exemption(s) Applied,Date Received ,Date Closed ,Disposition,Reason(s),"""Other"" Reason(s)",Exemption(s) Applied,Date Received,Date of Determination,Number of Days to Adjudicate,Granted / Denied,Date Adjudication Began,Date Adjudication Completed,Number of Days to Adjudicate,Granted / Denied,Amount of Fees Collected
Office of the Administrator,EPA-HQ-2008-000019,N,20,,,,21-Aug-08,21-Aug-08,26-Jun-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2010-000093,N,,,,,,,,,Simple,,,,2-Apr-10,19-Jan-17,Completely reversed/remanded,, ,,,,, ,,,, ,
OGC,EPA-HQ-2010-000095,N,,,,,,,,,Simple,,,,7-Apr-10,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2010-000099,N,,,,,,,,,Simple,,,,26-Jul-10,29-Sep-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2011-000083,N,20,,,,6-Oct-10,8-Oct-10,22-Aug-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2011-000106,N,20,,,,20-Dec-10,20-Dec-10,1-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,20-Dec-10,21-Dec-10,1,Full Grant,
Office of Pesticide Programs,EPA-HQ-2011-000108,N,20,,,,20-Dec-10,20-Dec-10,29-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,20-Dec-10,21-Dec-10,1,Full Grant,
Office of Pesticide Programs,EPA-HQ-2011-000109,N,20,,,,20-Dec-10,20-Dec-10,26-Sep-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2011-000113,N,20,,,,10-Jan-11,10-Jan-11,28-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2011-000126,N,20,,,,9-Mar-11,9-Mar-11,26-Sep-17,,Complex,Fee-related reason, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2011-000154,N,20,,,,13-May-11,28-Nov-12,26-Sep-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2011-000178,N,20,,,,28-Jul-11,28-Jul-11,1-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2011-000183,N,20,,,,12-Aug-11,14-Jun-17,26-Sep-17,,Complex,Full grant, ,,,,,,,,12-Aug-11,13-Aug-11,1,Deny,,,, ,
Office of Pesticide Programs,EPA-HQ-2011-000184,N,30,,,,12-Aug-11,12-Aug-11,,1254,Complex,,,,,,,,,,,,, ,12-Aug-11,13-Aug-11,1,Deny,
Office of Pesticide Programs,EPA-HQ-2011-000191,N,20,,,,22-Aug-11,23-Aug-11,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2011-000194,N,20,,,,1-Sep-11,4-Aug-17,1-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2011-000195,N,20,,,,1-Sep-11,1-Sep-11,1-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2011-000222,N,,,,,,,,,Simple,,,,23-Nov-10,26-Sep-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2011-000224,N,,,,,,,,,Simple,,,,17-Feb-11,20-Aug-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2011-000230,N,,,,,,,,,Simple,,,,3-Aug-11,26-Sep-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Office of Air Quality Planning and Standards,EPA-HQ-2011-000309,N,20,,,,12-May-11,12-May-11,9-Aug-17,,Complex,Duplicate request, ,Ex. 7(D),,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2012-000946,N,20,,,,6-Oct-11,6-Oct-11,13-Dec-16,,Complex,Full grant, ,,,,,,,,,,, ,6-Oct-11,7-Oct-11,1,Full Grant,
Office of Pesticide Programs,EPA-HQ-2012-001007,N,30,,,,21-Feb-12,21-Feb-12,,,Complex,,,,,,,,,,,,, ,,,, ,
