,City,Country,Distance,Fax,FridayHours,Latitude,Longitude,MondayHours,Name,Phone,SaturdayHours,Services,State,Street,SundayHours,ThursdayHours,TuesdayHours,Website,WednesdayHours,ZipCode
0,Albertville,United States,0,,Closed,34.265734,-86.209952,9am-4pm,Real Life Crisis Pregnancy Center - Albertville Center,(256) 878-1300,9am-5pm,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite), Ultrasound Referrals",AL,"104 W Alabama Ave, Ste F",Closed,2pm-5pm,Closed,http://reallifecpc.org,9am-5pm,35950
1,Alexander City,United States,0,,Closed,32.950618,-85.956798,8:00 am -5:00 pm,Sav-A-Life,(256) 329-2273,Closed,"Abortion Information, Maternity & Infant Supplies, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men",AL,11 Lafayette St.,Closed,8:00 am - 3:00 pm,8:00 am - 3:00 pm,http://savalifeac.org,8:00 am - 3:00 pm,35010
2,Andalusia,United States,0,(334) 222-0687,9am-1pm,31.308914,-86.483284,9am-5pm,Sav-A-Life Family Hope Center,(334) 222-0644,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Ultrasound (Onsite)",AL,116 Crescent St,Closed,9am-5pm,9am-5pm,http://www.savalifefhc.com,9am-5pm,36420
3,Anniston,United States,0,,,33.664131,-85.825371,,HOPE Women's Services (HB),256-237-9999,,"Pregnancy Tests, Ultrasound (Onsite)",AL,1506-A Leighton Ave,,,,,,36207
4,Athens,United States,0,,Closed,34.803367,-86.977054,9am-1pm,Women's Resource Center Athens,(256) 233-5775,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",AL,727 D West Market St,Closed,9am-1pm,9am-1pm,http://www.savalifeathens.org,9am-1pm,35611
5,Atmore,United States,0,,Closed,31.021709,-87.492578,12pm-5pm,Women's Resource Center of Escambia - Atmore Office,(251) 368-5678,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",AL,204 S Pensacola Ave.,Closed,9am-5pm,9am-5pm,http://wrcescambia.com,9am-5pm,36502
6,Auburn,United States,0,,9am-5pm,32.614709,-85.463873,9am-6pm,Women's Hope Medical Clinic,(334) 502-7000,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite)",AL,820 Stage Road,Closed,9am-6pm,9am-5pm,http://www.womenshope.org,9am-6pm,36830
7,Birmingham,United States,0,(205) 979-2270,9am-2pm,33.415958,-86.805278,9am-4pm,Sav-A-Life Pregnancy Test Center - Vestavia,(205) 979-0302,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Maternity Home, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",AL,1480 McGuire Rd,Closed,9am-7pm,9am-7pm,http://ptcbirmingham.com,9am-4pm,35216
8,Birmingham,United States,0,,,33.420094,-86.689615,,Lifeline Children's Services (HB),205-967-0811,,Pregnancy Tests,AL,100 Missionary Ridge,,,,,,35242
9,Birmingham,United States,0,,,33.507125,-86.797670,,Her Choice Birmingham Women's Center (HB),205-252-0706,,"Pregnancy Tests, Ultrasound (Onsite)",AL,2120 7th Ave S,,,,,,35233
