name,url
EPA removes Frontier Hard Chrome from national Superfund site list,https://www.epa.gov/newsreleases/epa-removes-frontier-hard-chrome-national-superfund-site-list
Love Canal Revealed a National Problem; Superfund Provided a Solution,https://www.epa.gov/newsreleases/love-canal-revealed-national-problem-superfund-provided-solution
"EPA Awards $233,601 to Pinellas and Hillsborough Counties to Improve Air Quality",https://www.epa.gov/newsreleases/epa-awards-233601-pinellas-and-hillsborough-counties-improve-air-quality
La EPA y la Junta de Calidad Ambiental de Puerto Rico colaboran para controlar y monitorear la contaminación del aire en Puerto Rico,https://www.epa.gov/newsreleases/la-epa-y-la-junta-de-calidad-ambiental-de-puerto-rico-colaboran-para-controlar-y
EPA and Puerto Rico Environmental Quality Board Collaborate to Control and Monitor Air Pollution in Puerto Rico,https://www.epa.gov/newsreleases/epa-and-puerto-rico-environmental-quality-board-collaborate-control-and-monitor-air
EPA Proposes Actions to Enhance Cleanup Work Already Underway at the Fair Lawn Well Field Superfund Site,https://www.epa.gov/newsreleases/epa-proposes-actions-enhance-cleanup-work-already-underway-fair-lawn-well-field
EPA Week in Review: 7/30-8/3,https://www.epa.gov/newsreleases/epa-week-review-730-83
"Anchor Glass Container Corporation to Cut Harmful Air Pollution, Improve Compliance at Container Glass Manufacturing Plants in Six States",https://www.epa.gov/newsreleases/anchor-glass-container-corporation-cut-harmful-air-pollution-improve-compliance
EPA Gears Up for PFAS Community Engagement Event in Colorado Springs Next Week,https://www.epa.gov/newsreleases/epa-gears-pfas-community-engagement-event-colorado-springs-next-week
EPA Releases Agenda for Fayetteville Community Engagement Event,https://www.epa.gov/newsreleases/epa-releases-agenda-fayetteville-community-engagement-event
Acting Administrator Wheeler Updates Administrator’s Superfund Emphasis List,https://www.epa.gov/newsreleases/acting-administrator-wheeler-updates-administrators-superfund-emphasis-list
"EPA Awards $100,000 to Philadelphia to Monitor Particle Pollution",https://www.epa.gov/newsreleases/epa-awards-100000-philadelphia-monitor-particle-pollution
"U.S. EPA announces $136,913 to Washoe County Health District to improve air quality",https://www.epa.gov/newsreleases/us-epa-announces-136913-washoe-county-health-district-improve-air-quality
"The Wall Street Journal: ""Make Cars Great Again"" (Opinion)",https://www.epa.gov/newsreleases/wall-street-journal-make-cars-great-again-opinion
"EPA Proposes Superfund Cleanup to Protect the Community of Cabo Rojo, Puerto Rico",https://www.epa.gov/newsreleases/epa-proposes-superfund-cleanup-protect-community-cabo-rojo-puerto-rico
"EPA Awards $100,000 to Philadelphia to Monitor Particle Pollution",https://www.epa.gov/newsreleases/epa-awards-100000-philadelphia-monitor-particle-pollution
"U.S. EPA announces $136,913 to Washoe County Health District to improve air quality",https://www.epa.gov/newsreleases/us-epa-announces-136913-washoe-county-health-district-improve-air-quality
EPA and U.S. DOT NHTSA Officials Host Pen and Pad Conference Call on New Fuel Economy Standards for MY 2021-2026 Vehicles,https://www.epa.gov/newsreleases/epa-and-us-dot-nhtsa-officials-host-pen-and-pad-conference-call-new-fuel-economy
"EPA Provides $135 Million for Innovative Groundwater Replenishment Project Expansion in Orange County, California",https://www.epa.gov/newsreleases/epa-provides-135-million-innovative-groundwater-replenishment-project-expansion-orange
EPA provides $135 million for innovative groundwater replenishment project expansion in Orange County,https://www.epa.gov/newsreleases/epa-provides-135-million-innovative-groundwater-replenishment-project-expansion-0
"EPA Begins Public Comment Period on Proposed Partial Delisting of Peters Cartridge Superfund Site in Kings Mills, Ohio",https://www.epa.gov/newsreleases/epa-begins-public-comment-period-proposed-partial-delisting-peters-cartridge-superfund
EPA and New York Partner to Control and Monitor Air Pollution,https://www.epa.gov/newsreleases/epa-and-new-york-partner-control-and-monitor-air-pollution
EPA Statement on Senate Environment and Public Works Committee Vote,https://www.epa.gov/newsreleases/epa-statement-senate-environment-and-public-works-committee-vote
EPA to Host Great Lakes Restoration Initiative Plan III Public Engagement Session in Chicago,https://www.epa.gov/newsreleases/epa-host-great-lakes-restoration-initiative-plan-iii-public-engagement-session-chicago
"U.S. EPA, Orange County Water District to announce multi-million dollar WIFIA loan to expand groundwater replenishment project",https://www.epa.gov/newsreleases/us-epa-orange-county-water-district-announce-multi-million-dollar-wifia-loan-expand
EPA Announces Largest Voluntary Recall of Medium- and Heavy-Duty Trucks,https://www.epa.gov/newsreleases/epa-announces-largest-voluntary-recall-medium-and-heavy-duty-trucks
"Air Pollution Trends Show Cleaner Air, Growing Economy",https://www.epa.gov/newsreleases/air-pollution-trends-show-cleaner-air-growing-economy
Las tendencias de contaminación de aire demuestran un aire más limpio y una economía creciente,https://www.epa.gov/newsreleases/las-tendencias-de-contaminacion-de-aire-demuestran-un-aire-mas-limpio-y-una-economia
EPA and parties reach conceptual settlement framework for final cleanup actions at Anaconda Smelter Superfund site in Montana,https://www.epa.gov/newsreleases/epa-and-parties-reach-conceptual-settlement-framework-final-cleanup-actions-anaconda
EPA Signs $200 Million Remedy for 100 D and H Area at the Hanford Reservation Superfund Site,https://www.epa.gov/newsreleases/epa-signs-200-million-remedy-100-d-and-h-area-hanford-reservation-superfund-site
EPA and parties reach conceptual settlement framework for final cleanup actions at Anaconda Smelter Superfund site in Montana,https://www.epa.gov/newsreleases/epa-and-parties-reach-conceptual-settlement-framework-final-cleanup-actions-anaconda
EPA provides $699 million for San Francisco wastewater infrastructure upgrades,https://www.epa.gov/newsreleases/epa-provides-699-million-san-francisco-wastewater-infrastructure-upgrades-0
"Media Advisory: EPA Releases Air Trends Report Showing Cleaner Air, Growing Economy",https://www.epa.gov/newsreleases/media-advisory-epa-releases-air-trends-report-showing-cleaner-air-growing-economy
"Hazardous Waste Cleanup Continues at the Bautsch Gray Mine Superfund Site in Galena, Illinois",https://www.epa.gov/newsreleases/hazardous-waste-cleanup-continues-bautsch-gray-mine-superfund-site-galena-illinois
EPA provides $699 Million for San Francisco Wastewater Infrastructure Upgrades,https://www.epa.gov/newsreleases/epa-provides-699-million-san-francisco-wastewater-infrastructure-upgrades
"Cleanup Proposed for Hercules, Inc. Superfund site in Gibbstown, N.J.",https://www.epa.gov/newsreleases/cleanup-proposed-hercules-inc-superfund-site-gibbstown-nj
"EPA proposes cleanup of lead-contaminated residential properties at Eighteen Mile Creek Superfund Site in Lockport, N.Y.",https://www.epa.gov/newsreleases/epa-proposes-cleanup-lead-contaminated-residential-properties-eighteen-mile-creek
EPA Cites General Iron for Air Pollution in Chicago,https://www.epa.gov/newsreleases/epa-cites-general-iron-air-pollution-chicago
EPA Announces PFAS Community Engagement Event in North Carolina,https://www.epa.gov/newsreleases/epa-announces-pfas-community-engagement-event-north-carolina
Assessment of Chesapeake Bay Restoration Shows Progress,https://www.epa.gov/newsreleases/assessment-chesapeake-bay-restoration-shows-progress
U.S. EPA marks one-year anniversary of Superfund Task Force Report with visit to Copper Bluff Mine,https://www.epa.gov/newsreleases/us-epa-marks-one-year-anniversary-superfund-task-force-report-visit-copper-bluff-mine
"EPA Deletes Fulton Terminals Site in Fulton, New York from federal Superfund list",https://www.epa.gov/newsreleases/epa-deletes-fulton-terminals-site-fulton-new-york-federal-superfund-list
"New Funding Opportunities for Water Infrastructure Projects in Iowa, Kansas, Missouri, and Nebraska",https://www.epa.gov/newsreleases/new-funding-opportunities-water-infrastructure-projects-iowa-kansas-missouri-and
EPA Officials Tour Tar Creek Superfund Site Celebrating the One-Year Anniversary of the Superfund Task Force,https://www.epa.gov/newsreleases/epa-officials-tour-tar-creek-superfund-site-celebrating-one-year-anniversary-superfund
EPA AND JUSTICE DEPARTMENT REACH $3.1 MILLION SETTLEMENT WITH DUPONT FOR ALLEGED CHEMICAL ACCIDENT PREVENTION VIOLATIONS,https://www.epa.gov/newsreleases/epa-and-justice-department-reach-31-million-settlement-dupont-alleged-chemical-accident
U.S. EPA marks one-year anniversary of Superfund Task Force Report with visit to Copper Bluff Mine,https://www.epa.gov/newsreleases/us-epa-marks-one-year-anniversary-superfund-task-force-report-visit-copper-bluff-mine
"PFAS Community Engagement Event Wraps Up in Horsham, PA",https://www.epa.gov/newsreleases/pfas-community-engagement-event-wraps-horsham-pa
Acting Administrator Wheeler Visits Massachusetts to Commemorate the First Anniversary of the Superfund Task Force Report,https://www.epa.gov/newsreleases/acting-administrator-wheeler-visits-massachusetts-commemorate-first-anniversary
Significant Cleanup Progress Made at the Kalamazoo River Superfund Site,https://www.epa.gov/newsreleases/significant-cleanup-progress-made-kalamazoo-river-superfund-site
Acting Administrator Wheeler Codifies Latest Animal Waste Report Exemptions Under CERCLA,https://www.epa.gov/newsreleases/acting-administrator-wheeler-codifies-latest-animal-waste-report-exemptions-under
ICYMI: Harrisburg Patriot-News: EPA wants to hear from you July 25 on this important issue,https://www.epa.gov/newsreleases/icymi-harrisburg-patriot-news-epa-wants-hear-you-july-25-important-issue
Superfund Task Force Announces One-Year Anniversary Accomplishments and Plan for Year Two,https://www.epa.gov/newsreleases/superfund-task-force-announces-one-year-anniversary-accomplishments-and-plan-year-two-2
"U.S. EPA settles with two Goodyear, Ariz.-based facilities over Clean Water Act violations",https://www.epa.gov/newsreleases/us-epa-settles-two-goodyear-ariz-based-facilities-over-clean-water-act-violations
